# Pedestrian related event data (events separated by blank lines)
# Number of pedestrian related events: 6
# milliseconds, datetime, fix_mode, lat, long, alt, speed, heading, accuracy_horiz, accuracy_vert, accuracy_speed, accuracy_heading, acc, yaw_rate, yaw_rate_dot, range, range_rate, event_marker

430, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, True
530, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
630, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
730, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
830, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
930, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
1030, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
1130, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
1230, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False
1330, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0.0, 0.0, False

2030, 2018-05-14T10:54:05600000025Z, 0.0, 50.2161399, -14.8439991, 12525.16699, 1.32, 104.43301, 4294967.5, 3750000.25, 6.6440005, 0.0055999, -1, -1, -1, 0.0, 0.0, False
2130, 2018-05-14T10:54:05700000049Z, 0.0, 50.2161399, -14.8439991, 12525.16699, 1.5, 104.43301, 4294967.5, 3750000.25, 6.6440005, 0.0055999, -1, -1, -1, 0.0, 0.0, False
2230, 2018-05-14T10:54:05800000073Z, 0.0, 50.2161399, -14.8439991, 12525.16699, 1.0, 104.43301, 4294967.5, 3750000.25, 6.6440005, 0.0055999, -1, -1, -1, 0.0, 0.0, False

2730, 2018-05-14T10:54:06299999834Z, 0.0, 50.2161399, -14.8439991, 12525.16699, 0.0, 104.43301, 4294967.5, 3750000.25, 6.6440005, 0.0055999, -1, -1, -1, 0.0, 0.0, False
2830, 2018-05-14T10:54:06399999739Z, 0.0, 50.2161399, -14.8439991, 12525.16699, 0.0, 104.43301, 4294967.5, 3750000.25, 6.6440005, 0.0055999, -1, -1, -1, 0.0, 0.0, False
2930, 2018-05-14T10:54:06500000001Z, 0.0, 49.9555302, -15.5291164, 12429.01074, 0.0, 104.43301, 4294967.5, 3750000.25, 6.7610001, 0.0055999, -1, -1, -1, 0.0, 0.0, False
3030, 2018-05-14T10:54:06600000025Z, 0.0, 49.9555302, -15.5291164, 12429.01074, 0.0, 104.43301, 4294967.5, 3750000.25, 6.7610001, 0.0055999, -1, -1, -1, 0.0, 0.0, False

